No,차량번호,차량모델,차량구분,정문입구1,정문입구2,정문입구3,정문입구4,월정요금,이    름,연 락 처,소    속,직    급,시 작 일,종 료 일,등 록 일,수 정 일,결 제 일,세대통보,등록,기타
1,10우6125,,예외처리,Y,Y,Y,Y,0,미등록,,,,20130814,99991231, 2018-01-28 00:28,,,적용,127.0.0.1,
2,11루7203,,예외처리,Y,Y,Y,Y,0,미등록,,,,20160907,99991231, 2018-01-28 00:28,,,적용,127.0.0.1,
3,31어8227,,예외처리,Y,Y,Y,Y,0,미등록,,,,20170102,99991231, 2018-01-28 00:28,2018-01-28 00:28:46,,적용,127.0.0.1,
4,37마2183,,예외처리,Y,Y,Y,Y,0,미등록,,,,20131227,99991231, 2018-01-28 00:28,,,적용,127.0.0.1,
5,43우6702,,예외처리,Y,Y,Y,Y,0,미등록,,,,20140310,99991231, 2018-01-28 00:28,,,적용,127.0.0.1,
6,47고2970,,예외처리,Y,Y,Y,Y,0,미등록,,,,20160106,99991231, 2018-01-28 00:28,,,적용,127.0.0.1,
7,64러1048,,예외처리,Y,Y,Y,Y,0,미등록,,,,20140510,99991231, 2018-01-28 00:28,,,적용,127.0.0.1,
8,충북31로8757,,예외처리,Y,Y,Y,Y,0,미등록,,,,20150319,99991231, 2018-01-28 00:28,2018-01-28 00:28:51,,적용,127.0.0.1,
